tile,dec,ra
CFIS_LSB.014.246.r,33.0,8.346543049851633
CFIS_LSB.014.247.r,33.5,8.394434603345685
CFIS_LSB.014.248.r,34.0,8.443525639527339
CFIS_LSB.014.249.r,34.5,8.493844870655531
CFIS_LSB.014.250.r,35.0,8.545422121330192
CFIS_LSB.014.251.r,35.5,8.59828837820564
CFIS_LSB.014.252.r,36.0,8.652475842498527
CFIS_LSB.014.253.r,36.5,8.708017985472265
CFIS_LSB.014.254.r,37.0,8.76494960709358
CFIS_LSB.014.255.r,37.5,8.823306898071852
CFIS_LSB.015.227.r,23.5,8.178308280434786
CFIS_LSB.015.228.r,24.0,8.20977208879535
CFIS_LSB.015.229.r,24.5,8.242109021602024
CFIS_LSB.015.230.r,25.0,8.275334392218689
CFIS_LSB.015.231.r,25.5,8.309464080618497
CFIS_LSB.015.232.r,26.0,8.344514553563917
CFIS_LSB.015.233.r,26.5,8.380502885791785
CFIS_LSB.015.234.r,27.0,8.417446782257706
CFIS_LSB.015.235.r,27.5,8.455364601497568
CFIS_LSB.015.236.r,28.0,8.494275380167794
CFIS_LSB.015.237.r,28.5,8.534198858829976
CFIS_LSB.015.238.r,29.0,8.5751555090499
CFIS_LSB.015.239.r,29.5,8.61716656188563
CFIS_LSB.015.240.r,30.0,8.660254037844386
CFIS_LSB.015.241.r,30.5,8.7044407783933
CFIS_LSB.015.242.r,31.0,8.749750479114978
CFIS_LSB.015.243.r,31.5,8.796207724605068
CFIS_LSB.015.244.r,32.0,8.843838025215723
CFIS_LSB.015.245.r,32.5,8.892667855756205
CFIS_LSB.015.246.r,33.0,8.942724696269606
CFIS_LSB.015.247.r,33.5,8.994037075013235
CFIS_LSB.015.248.r,34.0,9.046634613779291
CFIS_LSB.015.249.r,34.5,9.100548075702354
CFIS_LSB.015.250.r,35.0,9.15580941571092
CFIS_LSB.015.251.r,35.5,9.212451833791757
CFIS_LSB.015.252.r,36.0,9.270509831248422
CFIS_LSB.015.253.r,36.5,9.330019270148856
CFIS_LSB.015.254.r,37.0,9.391017436171692
CFIS_LSB.015.255.r,37.5,9.453543105076983
CFIS_LSB.016.227.r,23.5,8.72352883246377
CFIS_LSB.016.228.r,24.0,8.757090228048375
CFIS_LSB.016.229.r,24.5,8.791582956375493
CFIS_LSB.016.230.r,25.0,8.827023351699934
CFIS_LSB.016.231.r,25.5,8.863428352659732
CFIS_LSB.016.232.r,26.0,8.90081552380151
CFIS_LSB.016.233.r,26.5,8.939203078177904
CFIS_LSB.016.234.r,27.0,8.978609901074886
CFIS_LSB.016.235.r,27.5,9.01905557493074
CFIS_LSB.016.236.r,28.0,9.060560405512312
CFIS_LSB.016.237.r,28.5,9.103145449418642
CFIS_LSB.016.238.r,29.0,9.14683254298656
CFIS_LSB.016.239.r,29.5,9.191644332678004
CFIS_LSB.016.240.r,30.0,9.237604307034012
CFIS_LSB.016.241.r,30.5,9.284736830286185
CFIS_LSB.016.242.r,31.0,9.333067177722643
CFIS_LSB.016.243.r,31.5,9.382621572912072
CFIS_LSB.016.244.r,32.0,9.433427226896772
CFIS_LSB.016.245.r,32.5,9.485512379473285
CFIS_LSB.016.246.r,33.0,9.538906342687579
CFIS_LSB.016.247.r,33.5,9.593639546680784
CFIS_LSB.016.248.r,34.0,9.649743588031244
CFIS_LSB.016.249.r,34.5,9.707251280749178
CFIS_LSB.016.250.r,35.0,9.766196710091648
CFIS_LSB.016.251.r,35.5,9.826615289377875
CFIS_LSB.016.252.r,36.0,9.888543819998317
CFIS_LSB.016.253.r,36.5,9.952020554825445
CFIS_LSB.016.254.r,37.0,10.017085265249806
CFIS_LSB.016.255.r,37.5,10.083779312082116
CFIS_LSB.017.227.r,23.5,9.268749384492757
CFIS_LSB.017.228.r,24.0,9.304408367301397
CFIS_LSB.017.229.r,24.5,9.34105689114896
CFIS_LSB.017.230.r,25.0,9.37871231118118
CFIS_LSB.017.231.r,25.5,9.417392624700964
CFIS_LSB.017.232.r,26.0,9.457116494039106
CFIS_LSB.017.233.r,26.5,9.497903270564022
CFIS_LSB.017.234.r,27.0,9.539773019892067
CFIS_LSB.017.235.r,27.5,9.58274654836391
CFIS_LSB.017.236.r,28.0,9.626845430856832
CFIS_LSB.017.237.r,28.5,9.672092040007307
CFIS_LSB.017.238.r,29.0,9.718509576923221
CFIS_LSB.017.239.r,29.5,9.76612210347038
CFIS_LSB.017.240.r,30.0,9.814954576223638
CFIS_LSB.017.241.r,30.5,9.865032882179072
CFIS_LSB.017.242.r,31.0,9.91638387633031
CFIS_LSB.017.243.r,31.5,9.969035421219077
CFIS_LSB.017.244.r,32.0,10.02301642857782
CFIS_LSB.017.245.r,32.5,10.078356903190366
CFIS_LSB.017.246.r,33.0,10.135087989105553
CFIS_LSB.017.247.r,33.5,10.193242018348332
CFIS_LSB.017.248.r,34.0,10.252852562283197
CFIS_LSB.017.249.r,34.5,10.313954485796001
